Order_ID,Year,Order_Date,Month,Ship_Mode,Customer_ID,Customer_Name,Segment,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Sales,Quantity,Profit
CA-2013-152156,2013,11/9/2013,November,Second Class,CG-12520,Claire Gute,Consumer,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,261.96,2,41.9136
CA-2013-152156,2013,11/9/2013,November,Second Class,CG-12520,Claire Gute,Consumer,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,731.94,3,219.582
CA-2013-138688,2013,6/13/2013,June,Second Class,DV-13045,Darrin Van Huff,Corporate,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,14.62,2,6.8714
US-2012-108966,2012,10/11/2012,October,Standard Class,SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,33311,south,FUR-TA-10000577,Furniture,Tables,957.5775,5,-383.031
US-2012-108966,2012,10/11/2012,October,Standard Class,SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,22.368,2,2.5164
CA-2011-115812,2011,6/9/2011,June,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,48.86,7,14.1694
CA-2011-115812,2011,6/9/2011,June,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,90032,west,OFF-AR-10002833,Office Supplies,Art,7.28,4,1.9656
CA-2011-115812,2011,6/9/2011,June,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,907.152,6,90.7152
CA-2011-115812,2011,6/9/2011,June,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,18.504,3,5.7825
CA-2011-115812,2011,6/9/2011,June,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,114.9,5,34.47
CA-2011-115812,2011,6/9/2011,June,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,1706.184,9,85.3092
CA-2011-115812,2011,6/9/2011,June,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,911.424,4,68.3568
CA-2014-114412,2014,4/16/2014,April,Standard Class,AA-10480,Andrew Allen,Consumer,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,15.552,3,5.4432
CA-2013-161389,2013,12/6/2013,December,Standard Class,IM-15070,Irene Maddox,Consumer,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,407.976,3,132.5922
US-2012-118983,2012,11/22/2012,November,Standard Class,HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas,76106,central,OFF-AP-10002311,Office Supplies,Appliances,68.81,5,-123.858
US-2012-118983,2012,11/22/2012,November,Standard Class,HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,2.544,3,-3.816
CA-2011-105893,2011,11/11/2011,November,Standard Class,PK-19075,Pete Kriz,Consumer,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,665.88,6,13.3176
CA-2011-167164,2011,5/13/2011,May,Second Class,AG-10270,Alejandro Grove,Consumer,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,55.5,2,9.99
CA-2011-143336,2011,8/27/2011,August,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,8.56,2,2.4824
CA-2011-143336,2011,8/27/2011,August,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,213.48,3,16.011
CA-2011-143336,2011,8/27/2011,August,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,22.72,4,7.384
CA-2013-137330,2013,12/10/2013,December,Standard Class,KB-16585,Ken Black,Corporate,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,19.46,7,5.0596
CA-2013-137330,2013,12/10/2013,December,Standard Class,KB-16585,Ken Black,Corporate,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,60.34,7,15.6884
US-2014-156909,2014,7/17/2014,July,Second Class,SF-20065,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,71.372,2,-1.0196
CA-2012-106320,2012,9/25/2012,September,Standard Class,EB-13870,Emily Burns,Consumer,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,1044.63,3,240.2649
CA-2013-121755,2013,1/16/2013,January,Second Class,EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,11.648,2,4.2224
CA-2013-121755,2013,1/16/2013,January,Second Class,EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,90.57,3,11.7741
US-2012-150630,2012,9/17/2012,September,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,3083.43,7,-1665.0522
US-2012-150630,2012,9/17/2012,September,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,9.618,2,-7.0532
US-2012-150630,2012,9/17/2012,September,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,124.2,3,15.525
US-2012-150630,2012,9/17/2012,September,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,3.264,2,1.1016
US-2012-150630,2012,9/17/2012,September,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,86.304,6,9.7092
